genome,completeness,contamination,length,N50
TOBG_EAC-36.fna,86.66,0.53,3778710,20908
TOBG_EAC-35.fna,89.32,4.99,2296944,45386
TOBG_EAC-34.fna,86.8,0.0,1456460,25797
TOBG_EAC-33.fna,90.93,4.57,1788455,45292
TOBG_EAC-32.fna,94.18,2.69,1872651,47642
TOBG_EAC-31.fna,77.49,1.65,2300656,25374
TOBG_EAC-30.fna,77.33,0.8,1713667,49329
TOBG_EAC-3.fna,96.2,6.97,5124647,33807
TOBG_EAC-29.fna,86.45,3.73,3743789,35821
TOBG_EAC-28.fna,51.6,0.52,1923184,10826
TOBG_EAC-26.fna,57.85,0.66,1773781,15797
TOBG_EAC-25.fna,62.31,1.65,1213498,16864
TOBG_EAC-23.fna,69.53,1.68,1800547,14846
TOBG_EAC-22.fna,67.47,1.6,995066,16932
TOBG_EAC-2107.fna,58.01,4.13,918473,43969
TOBG_EAC-21.fna,100.0,3.32,4314506,69272
TOBG_EAC-2094.fna,64.1,3.3,903981,11225
TOBG_EAC-2092.fna,56.53,2.97,1026151,10948
TOBG_EAC-2090.fna,61.85,3.56,2770242,15433
TOBG_EAC-2087.fna,62.82,0.8,1028561,17272
TOBG_EAC-2074.fna,62.64,3.85,1265125,27343
TOBG_EAC-2047.fna,51.02,0.0,1143628,18663
TOBG_EAC-2037.fna,72.48,1.71,1721444,28840
TOBG_EAC-2021.fna,86.93,4.07,2076448,41657
TOBG_EAC-2006.fna,73.85,2.88,1417347,31131
TOBG_EAC-2003.fna,53.85,2.21,858660,15183
TOBG_EAC-20.fna,100.0,1.54,3306714,395038
TOBG_EAC-2.fna,80.38,3.88,2784619,20409
TOBG_EAC-1995.fna,52.25,3.4,3175171,26979
TOBG_EAC-1972.fna,58.5,1.36,1554274,21163
TOBG_EAC-1938.fna,62.2,3.26,961269,30187
TOBG_EAC-1924.fna,57.58,2.45,830164,13029
TOBG_EAC-19.fna,55.49,1.1,2133305,14218
TOBG_EAC-18.fna,50.42,1.51,2042381,23124
TOBG_EAC-1786.fna,51.58,0.36,734051,11130
TOBG_EAC-1785.fna,88.46,7.14,1302788,36148
TOBG_EAC-1768.fna,72.67,4.0,1841744,29086
TOBG_EAC-17.fna,94.82,2.74,5225131,37308
TOBG_EAC-16.fna,89.19,3.94,3073791,63868
TOBG_EAC-15.fna,50.75,0.4,2004316,11044
TOBG_EAC-14.fna,53.13,1.76,4016134,12162
TOBG_EAC-13.fna,91.4,1.27,1493998,47321
TOBG_EAC-123.fna,51.09,1.52,2231761,14936
TOBG_EAC-122.fna,53.2,1.16,951082,11581
TOBG_EAC-121.fna,53.84,1.22,856047,19989
TOBG_EAC-120.fna,56.89,1.25,2054692,21148
TOBG_EAC-12.fna,53.32,0.27,1382325,14238
TOBG_EAC-118.fna,54.15,0.78,880031,12511
TOBG_EAC-117.fna,82.42,4.95,1528360,26802
TOBG_EAC-116.fna,65.22,1.93,2493311,19038
TOBG_EAC-115.fna,57.73,0.8,935834,22496
TOBG_EAC-114.fna,58.2,0.6,1196424,21807
TOBG_EAC-113.fna,74.86,0.75,941583,25306
TOBG_EAC-112.fna,64.9,1.89,1356763,27267
TOBG_EAC-110.fna,51.34,1.51,1693360,22072
TOBG_EAC-11.fna,94.51,1.06,2026489,50331
TOBG_EAC-109.fna,96.81,0.74,3020166,44674
TOBG_EAC-108.fna,98.17,0.7,2742892,394077
TOBG_EAC-107.fna,80.13,2.67,1931312,54787
TOBG_EAC-106.fna,62.13,0.32,1362374,41033
TOBG_EAC-105.fna,51.52,0.85,1185099,13176
TOBG_EAC-104.fna,50.96,1.0,2058445,11787
TOBG_EAC-103.fna,85.41,1.18,3030934,33061
TOBG_EAC-102.fna,77.59,0.09,3184730,80123
TOBG_EAC-101.fna,68.34,0.0,2028427,108776
TOBG_EAC-100.fna,68.27,1.6,1292861,53625
TOBG_EAC-10.fna,91.88,4.51,1337577,49045
TOBG_EAC-1.fna,85.64,1.18,2456834,22912
TOBG_NAT-99.fna,62.28,1.88,933449,16707
TOBG_NAT-94.fna,98.89,7.58,6175078,188024
TOBG_NAT-93.fna,60.25,1.49,1549488,17159
TOBG_NAT-92.fna,94.3,1.67,3898638,115221
TOBG_NAT-192.fna,65.1,1.64,1205285,55239
TOBG_NAT-91.fna,95.21,8.23,2915406,95904
TOBG_NAT-90.fna,75.78,1.73,1516047,67777
TOBG_NAT-9.fna,81.39,2.42,3388107,281507
TOBG_NAT-89.fna,93.41,1.19,3485647,31424
TOBG_NAT-88.fna,93.17,0.0,1545239,57260
TOBG_NAT-87.fna,63.79,1.72,1812419,27508
TOBG_NAT-86.fna,54.33,1.6,1081138,17893
TOBG_NAT-84.fna,85.84,3.3,3981448,30611
TOBG_NAT-83.fna,50.25,1.2,473115,15243
TOBG_NAT-82.fna,98.33,3.65,4114335,94382
TOBG_NAT-81.fna,88.85,3.4,4167474,28622
TOBG_NAT-80.fna,53.82,0.66,749193,15728
TOBG_NAT-8.fna,96.02,6.26,8196304,84374
TOBG_NAT-79.fna,95.44,4.76,4242771,44479
TOBG_NAT-78.fna,52.27,0.8,1128932,18716
TOBG_NAT-76.fna,57.83,1.81,2505616,22856
TOBG_NAT-75.fna,98.51,4.31,3443367,55071
TOBG_NAT-74.fna,84.62,0.0,1525208,33500
TOBG_NAT-73.fna,59.4,0.0,1554886,16312
TOBG_NAT-72.fna,86.84,2.54,2115656,25929
TOBG_NAT-71.fna,96.15,6.69,2633695,98356
TOBG_NAT-70.fna,87.5,2.31,3000427,49924
TOBG_NAT-7.fna,99.02,9.24,5306035,121339
TOBG_NAT-69.fna,97.58,0.0,4890980,100832
TOBG_NAT-686.fna,79.78,4.68,2810321,41830
TOBG_NAT-682.fna,68.65,1.67,1950455,21694
TOBG_NAT-68.fna,82.53,3.2,2089406,50899
TOBG_NAT-67.fna,97.21,8.25,3698377,112039
TOBG_NAT-661.fna,57.69,3.7,1454713,13334
TOBG_NAT-66.fna,91.52,2.61,2860664,33046
TOBG_NAT-653.fna,63.43,5.0,1559451,19269
TOBG_NAT-65.fna,64.85,0.99,1185111,16851
TOBG_NAT-64.fna,96.1,2.24,4245982,90425
TOBG_NAT-634.fna,64.52,2.21,1168329,15580
TOBG_NAT-630.fna,55.88,4.09,1244043,20222
TOBG_NAT-63.fna,65.96,1.64,1228863,17303
TOBG_NAT-62.fna,86.81,1.1,1450177,33197
TOBG_NAT-61.fna,97.58,7.92,7804056,51497
TOBG_NAT-608.fna,64.94,0.0,1394423,19136
TOBG_NAT-60.fna,80.59,3.93,2558605,23068
TOBG_NAT-6.fna,97.54,8.47,4968344,131994
TOBG_NAT-59.fna,60.36,1.1,853813,17803
TOBG_NAT-579.fna,58.5,0.0,2472652,14091
TOBG_NAT-575.fna,78.57,0.2,2095193,23333
TOBG_NAT-57.fna,50.61,1.87,1007639,17438
TOBG_NAT-56.fna,58.39,1.6,2164960,24280
TOBG_NAT-55.fna,82.89,3.23,1976846,23339
TOBG_NAT-549.fna,52.56,2.21,779741,15755
TOBG_NAT-545.fna,59.64,1.72,1357840,14934
TOBG_NAT-54.fna,74.27,0.0,1192711,34542
TOBG_NAT-535.fna,79.14,0.85,1565414,74485
TOBG_NAT-53.fna,84.45,1.68,1031667,68085
TOBG_NAT-52.fna,89.21,1.1,1937208,29120
TOBG_NAT-510.fna,81.3,2.24,1008374,79283
TOBG_NAT-51.fna,59.57,0.0,1156442,19265
TOBG_NAT-509.fna,85.78,5.76,1056808,53461
TOBG_NAT-504.fna,57.04,0.0,1566207,34865
TOBG_NAT-503.fna,57.92,2.07,774723,40744
TOBG_NAT-501.fna,70.69,3.45,1190163,21620
TOBG_NAT-50.fna,58.36,1.6,972382,34927
TOBG_NAT-495.fna,54.15,1.1,790063,23629
TOBG_NAT-493.fna,69.78,0.1,720841,33483
TOBG_NAT-49.fna,54.82,1.24,1415865,13660
TOBG_NAT-484.fna,61.74,0.0,570692,143276
TOBG_NAT-483.fna,51.34,3.03,502164,19470
TOBG_NAT-48.fna,53.63,1.27,1434688,15620
TOBG_NAT-478.fna,62.84,0.72,846419,20169
TOBG_NAT-472.fna,65.15,3.3,1656051,24451
TOBG_NAT-453.fna,71.29,2.2,1435193,42036
TOBG_NAT-45.fna,92.0,1.61,1664267,44351
TOBG_NAT-441.fna,71.05,4.27,1427827,78687
TOBG_NAT-44.fna,62.35,1.65,1136310,22764
TOBG_NAT-430.fna,76.47,4.67,938298,41412
TOBG_NAT-43.fna,78.83,1.69,2074215,24026
TOBG_NAT-422.fna,89.01,2.2,1823245,40042
TOBG_NAT-417.fna,88.45,3.96,1342886,99430
TOBG_NAT-41.fna,96.69,9.56,2332376,44468
TOBG_NAT-40.fna,91.98,3.94,2213321,39340
TOBG_NAT-4.fna,98.15,2.78,4895318,96350
TOBG_NAT-392.fna,60.22,1.08,1228385,23771
TOBG_NAT-39.fna,81.62,4.38,2742929,20291
TOBG_NAT-38.fna,61.54,1.1,1565354,18268
TOBG_NAT-375.fna,50.24,1.91,1117231,19721
TOBG_NAT-37.fna,65.01,0.8,1598084,22987
TOBG_NAT-36.fna,58.45,1.26,1393630,17194
TOBG_NAT-353.fna,66.52,4.17,1133945,16495
TOBG_NAT-35.fna,55.82,1.6,1052733,23072
TOBG_NAT-333.fna,50.9,3.01,726357,19396
TOBG_NAT-33.fna,97.6,0.43,5201795,170517
TOBG_NAT-31.fna,69.02,0.16,1784843,16357
TOBG_NAT-302.fna,60.35,3.73,1412146,27517
TOBG_NAT-30.fna,97.41,1.08,4946673,76478
TOBG_NAT-3.fna,97.57,6.26,5696658,69816
TOBG_NAT-292.fna,60.68,2.56,1134048,26029
TOBG_NAT-291.fna,96.12,1.65,4326382,122625
TOBG_NAT-290.fna,97.27,0.61,6768311,1017722
TOBG_NAT-29.fna,52.81,1.98,1069723,13981
TOBG_NAT-288.fna,76.53,0.0,1673240,51214
TOBG_NAT-284.fna,93.59,7.26,2500049,125665
TOBG_NAT-283.fna,55.68,4.17,773876,25424
TOBG_NAT-282.fna,80.96,5.84,3009707,20654
TOBG_NAT-281.fna,69.47,4.0,1632154,25659
TOBG_NAT-280.fna,76.6,4.4,1882490,31313
TOBG_NAT-28.fna,99.13,0.43,3972912,2086245
TOBG_NAT-279.fna,53.57,3.12,1338611,27165
TOBG_NAT-278.fna,70.44,2.64,1778453,22509
TOBG_NAT-277.fna,58.33,2.9,1316413,32211
TOBG_NAT-276.fna,91.78,8.43,3539946,33670
TOBG_NAT-275.fna,58.8,2.4,1076717,20392
TOBG_NAT-274.fna,61.04,2.2,1598174,27626
TOBG_NAT-273.fna,54.56,3.51,979824,16110
TOBG_NAT-272.fna,83.82,9.01,1175504,26600
TOBG_NAT-271.fna,77.72,4.23,1098716,64687
TOBG_NAT-270.fna,66.65,3.28,1336986,23431
TOBG_NAT-269.fna,71.2,3.83,1435748,23024
TOBG_NAT-268.fna,61.31,2.2,819630,13534
TOBG_NAT-267.fna,53.86,3.85,1244147,14834
TOBG_NAT-266.fna,53.77,4.53,1414795,13855
TOBG_NAT-265.fna,52.39,3.07,985502,15503
TOBG_NAT-264.fna,63.79,4.47,1370031,21415
TOBG_NAT-263.fna,58.08,2.13,1227970,42472
TOBG_NAT-262.fna,53.5,2.44,983398,16540
TOBG_NAT-261.fna,63.79,3.98,1034692,26544
TOBG_NAT-260.fna,64.69,3.2,1122561,28862
TOBG_NAT-26.fna,72.51,0.0,3214501,18151
TOBG_NAT-259.fna,79.18,2.04,1757702,24999
TOBG_NAT-258.fna,88.51,8.33,3468250,22029
TOBG_NAT-256.fna,51.48,2.4,1236293,13757
TOBG_NAT-255.fna,90.6,7.45,1962157,28641
TOBG_NAT-254.fna,67.55,2.21,1187380,21564
TOBG_NAT-253.fna,87.72,7.12,4316983,26474
TOBG_NAT-252.fna,77.43,3.68,1443025,21147
TOBG_NAT-251.fna,51.03,2.2,525617,34661
TOBG_NAT-250.fna,52.99,2.28,1490084,14276
TOBG_NAT-25.fna,55.66,1.61,1605280,15699
TOBG_NAT-249.fna,72.12,2.04,1607343,15232
TOBG_NAT-248.fna,85.66,6.25,1767573,50973
TOBG_NAT-247.fna,61.84,2.91,1467050,16611
TOBG_NAT-246.fna,51.71,4.08,2150939,34232
TOBG_NAT-245.fna,72.81,2.06,1192655,29393
TOBG_NAT-243.fna,53.35,2.47,1456686,14057
TOBG_NAT-242.fna,74.32,2.03,2762103,23643
TOBG_NAT-241.fna,84.41,7.69,2045060,32328
TOBG_NAT-240.fna,50.63,2.04,1546162,17159
TOBG_NAT-24.fna,72.33,0.52,2676216,22096
TOBG_NAT-239.fna,78.3,2.14,4357178,22123
TOBG_NAT-238.fna,82.87,7.6,1887577,33444
TOBG_NAT-237.fna,85.65,8.45,1886450,40044
TOBG_NAT-235.fna,68.39,3.4,2190994,25000
TOBG_NAT-234.fna,65.69,4.0,1363205,37343
TOBG_NAT-233.fna,57.71,3.21,1372576,20464
TOBG_SP-96.fna,82.74,4.2,2533721,38002
TOBG_NAT-232.fna,70.65,2.87,1258787,76073
TOBG_NAT-231.fna,78.11,2.92,1487626,26827
TOBG_NAT-230.fna,57.07,2.43,1587338,17035
TOBG_NAT-203.fna,88.46,8.79,1988880,34981
TOBG_NAT-23.fna,100.0,7.26,7015219,230483
TOBG_NAT-229.fna,68.93,3.66,746133,17609
TOBG_NAT-15.fna,95.25,3.05,4854596,128417
TOBG_NAT-149.fna,98.86,6.25,3172060,148701
TOBG_NAT-148.fna,54.48,1.72,884026,21106
TOBG_NAT-147.fna,57.01,2.0,1279324,18214
TOBG_NAT-146.fna,82.62,3.91,1453069,124845
TOBG_NAT-145.fna,95.95,1.01,1822408,62880
TOBG_NAT-144.fna,60.34,0.0,1772685,22576
TOBG_NAT-143.fna,86.89,4.27,2084737,94767
TOBG_NAT-142.fna,70.01,1.85,2740381,17219
TOBG_NAT-141.fna,87.83,1.45,1886490,81846
TOBG_NAT-140.fna,69.88,1.6,2841860,42633
TOBG_NAT-14.fna,89.32,2.3,5424119,37971
TOBG_NAT-138.fna,89.74,0.97,2400453,40457
TOBG_NAT-137.fna,90.43,1.49,1906463,34057
TOBG_NAT-135.fna,67.33,0.49,1590281,25373
TOBG_NAT-134.fna,100.0,0.56,4231110,198761
TOBG_NAT-133.fna,91.09,2.56,4832204,71913
TOBG_NAT-132.fna,70.92,0.0,3164519,18273
TOBG_NAT-131.fna,95.16,4.44,9253999,54855
TOBG_NAT-130.fna,97.7,5.17,7415867,186300
TOBG_NAT-13.fna,82.48,1.28,1567482,30182
TOBG_NAT-128.fna,54.12,0.0,4296345,16520
TOBG_NAT-127.fna,91.89,2.78,3562751,24098
TOBG_NAT-126.fna,58.82,1.34,2857731,20259
TOBG_NAT-125.fna,77.45,1.94,2897896,24815
TOBG_NAT-124.fna,99.09,6.55,5885093,144146
TOBG_NAT-123.fna,96.97,7.58,8054069,69233
TOBG_NAT-122.fna,63.3,1.09,3219954,16381
TOBG_NAT-121.fna,98.36,3.33,5201423,157464
TOBG_NAT-120.fna,52.53,0.0,897432,32897
TOBG_NAT-12.fna,86.21,4.08,1327887,65911
TOBG_NAT-119.fna,72.77,0.0,1776935,19476
TOBG_NAT-118.fna,87.29,4.95,1381496,54047
TOBG_NAT-117.fna,92.73,0.91,6701443,674874
TOBG_NAT-116.fna,97.39,3.01,2732343,69950
TOBG_NAT-114.fna,51.37,0.4,2305457,16615
TOBG_NAT-113.fna,84.47,4.84,2986825,26127
TOBG_NAT-111.fna,88.45,0.49,4466321,153457
TOBG_NAT-110.fna,60.17,0.38,1902144,15125
TOBG_NAT-11.fna,78.93,0.93,1912832,35482
TOBG_NAT-108.fna,84.05,4.7,2444895,22536
TOBG_NAT-107.fna,66.32,1.2,1263051,32270
TOBG_NAT-106.fna,62.86,0.93,2084370,14573
TOBG_NAT-105.fna,62.11,1.14,762552,49129
TOBG_NAT-104.fna,64.26,0.57,2100379,395401
TOBG_NAT-103.fna,51.18,1.72,689986,14457
TOBG_NAT-102.fna,83.8,3.12,2119383,21338
TOBG_NAT-101.fna,76.91,1.73,2262322,25939
TOBG_NAT-100.fna,92.35,3.7,2116609,45598
TOBG_NAT-10.fna,96.27,4.59,5328004,88635
TOBG_NAT-1.fna,83.45,4.15,6421894,31101
TOBG_MED-999.fna,67.03,1.1,1093975,33774
TOBG_MED-995.fna,70.34,3.39,1211796,28367
TOBG_MED-965.fna,88.95,6.45,1877216,38229
TOBG_MED-961.fna,56.7,3.23,961840,16273
TOBG_NAT-173.fna,96.77,1.75,5621037,80610
TOBG_NAT-172.fna,86.77,3.08,1222601,30679
TOBG_NAT-171.fna,71.51,1.28,1498014,55739
TOBG_NAT-170.fna,99.57,5.0,3856903,451133
TOBG_NAT-17.fna,96.55,8.62,3558106,98026
TOBG_NAT-169.fna,96.95,5.74,5354704,113649
TOBG_NAT-167.fna,98.39,8.58,5859138,154349
TOBG_NAT-166.fna,98.28,7.03,2275521,100555
TOBG_NAT-165.fna,97.85,4.84,2509760,103452
TOBG_NAT-164.fna,60.45,0.99,915151,16248
TOBG_NAT-163.fna,86.86,2.57,1705009,26336
TOBG_NAT-162.fna,65.95,0.91,1137056,30636
TOBG_NAT-161.fna,97.3,1.47,1865845,84104
TOBG_NAT-160.fna,63.02,0.77,1151227,22450
TOBG_NAT-16.fna,97.61,1.67,3518857,93345
TOBG_NAT-159.fna,50.86,1.72,789427,83163
TOBG_NAT-158.fna,99.94,0.43,2399875,714405
TOBG_NAT-157.fna,98.33,1.64,2516899,481247
TOBG_NAT-156.fna,50.87,1.48,944174,26436
TOBG_NAT-155.fna,76.66,1.18,7208190,27490
TOBG_NAT-154.fna,82.4,4.8,1978883,35117
TOBG_NAT-152.fna,63.81,0.0,2855445,1654422
TOBG_NAT-151.fna,56.47,1.69,1741925,21157
TOBG_NAT-150.fna,63.64,1.6,1594410,23062
TOBG_MED-957.fna,52.4,1.47,1095810,16081
TOBG_MED-955.fna,87.91,7.79,1488172,40207
TOBG_MED-952.fna,54.16,1.94,1055628,13124
TOBG_MED-947.fna,53.54,0.09,926103,18501
TOBG_MED-943.fna,63.79,4.31,1414169,16146
TOBG_MED-928.fna,85.88,8.7,3796047,139447
TOBG_MED-921.fna,83.73,8.93,2053674,61165
TOBG_MED-899.fna,81.87,4.8,1938004,41337
TOBG_MED-884.fna,58.58,2.21,767151,30114
TOBG_MED-883.fna,56.51,4.58,1019665,15428
TOBG_MED-881.fna,66.3,2.26,1178605,16458
TOBG_MED-880.fna,79.4,4.0,1730803,39804
TOBG_MED-879.fna,91.75,8.38,1564032,103630
TOBG_MED-878.fna,91.97,7.1,1463536,382379
TOBG_MED-877.fna,55.17,3.45,740738,19192
TOBG_MED-876.fna,52.05,2.35,1310231,26838
TOBG_MED-875.fna,51.02,2.67,1305281,30669
TOBG_MED-874.fna,55.33,2.8,781876,18097
TOBG_MED-873.fna,51.61,4.7,1158792,13256
TOBG_MED-872.fna,64.78,3.61,851112,23310
TOBG_MED-871.fna,51.22,4.6,619551,14403
TOBG_MED-870.fna,74.13,2.4,1612743,19303
TOBG_MED-869.fna,56.98,2.15,2039890,13312
TOBG_MED-867.fna,73.08,3.42,1776757,18420
TOBG_MED-866.fna,50.86,2.04,1711401,22537
TOBG_MED-864.fna,55.69,2.01,1722817,19290
TOBG_MED-859.fna,53.9,3.77,787199,20525
TOBG_MED-858.fna,69.53,4.3,1876457,17994
TOBG_MED-855.fna,73.18,3.09,2169710,18719
TOBG_MED-853.fna,78.93,4.8,2352348,62262
TOBG_MED-852.fna,63.5,3.36,1193691,36155
TOBG_MED-851.fna,63.6,2.21,988426,81367
TOBG_MED-850.fna,76.9,3.71,1935913,53213
TOBG_MED-849.fna,51.27,3.68,926550,17915
TOBG_MED-848.fna,55.56,2.62,887515,23762
TOBG_MED-847.fna,57.35,3.68,655901,11261
TOBG_MED-846.fna,74.27,3.36,1326860,26871
TOBG_MED-843.fna,59.78,3.8,1472163,26643
TOBG_MED-841.fna,76.16,3.04,1388011,41041
TOBG_MED-840.fna,57.33,4.05,1001749,12063
TOBG_MED-839.fna,69.17,2.14,1096935,21626
TOBG_MED-838.fna,51.3,2.74,842170,13233
TOBG_MED-836.fna,58.19,4.63,2421174,78155
TOBG_MED-835.fna,76.91,3.98,1770030,20264
TOBG_MED-834.fna,77.4,3.04,2324977,15274
TOBG_MED-833.fna,54.98,3.76,1133221,14639
TOBG_MED-832.fna,68.52,3.7,958664,135228
TOBG_MED-830.fna,76.3,3.03,1952626,306155
TOBG_MED-829.fna,78.93,2.2,1579447,16293
TOBG_MED-828.fna,75.68,4.9,2136873,28951
TOBG_MED-827.fna,75.47,3.77,857302,50206
TOBG_MED-825.fna,93.98,5.87,2606596,95612
TOBG_MED-824.fna,63.4,2.68,1952944,35781
TOBG_MED-823.fna,58.31,3.73,1005803,36487
TOBG_MED-822.fna,54.21,2.43,700387,17110
TOBG_MED-821.fna,50.6,3.48,2455043,18454
TOBG_MED-819.fna,72.52,4.62,1426250,65982
TOBG_MED-818.fna,79.41,3.43,1393000,31568
TOBG_MED-817.fna,68.45,2.38,775528,13397
TOBG_MED-816.fna,58.25,3.59,962851,36242
TOBG_MED-815.fna,90.49,8.6,3392130,74616
TOBG_MED-814.fna,90.2,6.51,1967603,39535
TOBG_MED-812.fna,64.84,2.2,1869419,28980
TOBG_MED-810.fna,90.56,6.32,2909769,76631
TOBG_MED-809.fna,90.03,9.96,1647829,50958
TOBG_MED-808.fna,51.65,2.2,892794,91588
TOBG_MED-807.fna,60.27,2.15,1508025,190545
TOBG_MED-806.fna,91.21,9.89,2656395,42041
TOBG_MED-805.fna,58.45,2.82,1030866,49247
TOBG_MED-804.fna,51.11,3.16,1106558,17403
TOBG_MED-803.fna,79.36,2.39,2200859,49586
TOBG_MED-802.fna,50.21,2.82,1043023,26125
TOBG_MED-801.fna,74.37,2.83,1159914,37766
TOBG_MED-800.fna,54.69,2.6,1491236,18431
TOBG_MED-797.fna,93.18,6.97,2604406,255024
TOBG_MED-795.fna,65.66,3.45,926841,60399
TOBG_MED-794.fna,55.9,2.92,1103347,30244
TOBG_MED-793.fna,63.62,2.51,1428744,31708
TOBG_MED-792.fna,94.66,8.8,2165014,119749
TOBG_MED-790.fna,67.82,3.07,1638911,44043
TOBG_MED-788.fna,55.72,2.2,614469,18869
TOBG_MED-787.fna,52.66,2.41,481559,17646
TOBG_MED-786.fna,51.1,2.67,1169409,35583
TOBG_MED-785.fna,50.44,2.68,865412,13427
TOBG_MED-784.fna,59.04,2.41,523719,67959
TOBG_MED-782.fna,51.46,0.89,1999966,11308
TOBG_MED-781.fna,62.07,1.72,880396,118036
TOBG_MED-780.fna,64.06,1.1,1291529,14314
TOBG_MED-779.fna,84.56,4.41,1565810,25565
TOBG_MED-778.fna,94.78,4.31,1433382,64240
TOBG_MED-776.fna,69.32,0.0,1920432,261381
TOBG_MED-775.fna,70.31,1.05,1969713,19622
TOBG_MED-772.fna,53.45,0.0,804302,42085
TOBG_MED-770.fna,64.76,1.87,1224866,60746
TOBG_MED-769.fna,81.93,4.67,1263754,30066
TOBG_MED-796.fna,94.85,5.28,2205922,49165
TOBG_MED-768.fna,76.36,1.83,1666962,14763
TOBG_MED-766.fna,93.27,3.91,1607840,87336
TOBG_MED-764.fna,53.14,1.45,1452693,15571
TOBG_MED-746.fna,96.7,6.59,1674183,48332
TOBG_MED-760.fna,65.81,0.25,1247023,83939
TOBG_MED-759.fna,89.74,3.21,1788781,84972
TOBG_MED-758.fna,50.43,0.43,743160,18087
TOBG_MED-757.fna,92.31,4.95,1950198,34114
TOBG_MED-756.fna,86.83,1.74,2996585,21864
TOBG_NAT-174.fna,65.83,0.0,3360176,36150
TOBG_NAT-175.fna,95.47,8.46,1822488,38997
TOBG_NAT-178.fna,91.96,1.79,2818849,47544
TOBG_NAT-179.fna,97.04,0.54,1691798,358698
TOBG_NAT-18.fna,90.81,1.14,1975315,47270
TOBG_NAT-180.fna,67.24,0.0,1210766,83956
TOBG_NAT-181.fna,87.01,2.04,2975687,33078
TOBG_NAT-182.fna,78.31,0.0,1335253,30018
TOBG_NAT-183.fna,62.67,0.86,1447433,29801
TOBG_NAT-185.fna,92.23,4.19,2240152,40694
TOBG_NAT-186.fna,50.79,1.87,1513405,23068
TOBG_NAT-187.fna,90.32,2.69,2450038,56737
TOBG_NAT-188.fna,95.3,3.85,2540084,113926
TOBG_NAT-189.fna,55.66,1.08,1151630,15237
TOBG_NAT-19.fna,95.16,1.08,3853292,77499
TOBG_NAT-190.fna,83.69,1.98,1277955,76479
TOBG_NAT-193.fna,52.02,1.1,737320,26012
TOBG_NAT-194.fna,50.91,1.83,937108,23806
TOBG_NAT-195.fna,51.65,1.1,772457,13211
TOBG_NAT-196.fna,62.57,3.3,1923024,45733
TOBG_NAT-197.fna,87.93,8.46,1986386,51100
TOBG_NAT-198.fna,86.81,9.89,1664743,31643
TOBG_NAT-199.fna,54.79,2.42,1216577,21496
TOBG_NAT-2.fna,96.17,6.45,3709474,116595
TOBG_NAT-20.fna,98.26,6.56,4884171,147220
TOBG_NAT-200.fna,85.95,5.88,1120682,25241
TOBG_NAT-202.fna,51.23,2.53,2596056,17305
TOBG_NAT-204.fna,53.36,3.2,777458,15323
TOBG_NAT-205.fna,94.71,6.45,1748467,52473
TOBG_NAT-207.fna,66.75,3.42,1154982,34153
TOBG_NAT-209.fna,78.22,2.94,2449438,111582
TOBG_NAT-21.fna,97.1,1.99,4497611,92420
TOBG_NAT-210.fna,94.68,6.62,4372514,342122
TOBG_NAT-211.fna,66.97,3.3,1186161,17523
TOBG_NAT-212.fna,79.62,4.35,3540613,24385
TOBG_NAT-215.fna,58.62,3.45,1436732,27699
TOBG_NAT-216.fna,68.92,2.84,2838554,25807
TOBG_NAT-217.fna,93.41,8.79,1625503,37395
TOBG_NAT-218.fna,71.29,3.47,2464282,18243
TOBG_NAT-219.fna,50.48,2.2,812234,12476
TOBG_NAT-22.fna,83.11,3.51,6416023,28581
TOBG_NAT-220.fna,85.31,9.39,1669566,33544
TOBG_NAT-221.fna,76.87,3.42,1832975,24752
TOBG_NAT-222.fna,71.66,3.7,1189715,76603
TOBG_NAT-223.fna,67.86,2.6,2943028,21917
TOBG_NAT-224.fna,92.12,6.23,1642075,71914
TOBG_NAT-225.fna,89.51,5.91,3305258,35699
TOBG_NAT-226.fna,56.91,2.28,1553448,20532
TOBG_NAT-228.fna,51.16,2.97,631042,25223
TOBG_SP-1.fna,77.62,0.14,2887846,40552
TOBG_SAT-99.fna,99.19,1.61,4489342,273112
TOBG_SAT-98.fna,96.23,2.13,4832435,139636
TOBG_SAT-97.fna,94.62,1.95,4250142,42787
TOBG_SAT-96.fna,69.63,1.98,2815064,26040
TOBG_SAT-95.fna,81.6,0.8,1891523,51647
TOBG_SAT-94.fna,71.05,0.8,1669352,31709
TOBG_SAT-93.fna,97.27,1.61,3781349,116844
TOBG_SAT-92.fna,100.0,1.03,3568991,412379
TOBG_SAT-91.fna,92.54,2.97,3074704,52380
TOBG_SAT-90.fna,82.79,0.74,3127146,26105
TOBG_SAT-9.fna,98.7,5.22,4835676,471156
TOBG_SAT-89.fna,54.66,0.0,2792255,24897
TOBG_SAT-88.fna,99.59,3.99,4993883,309155
TOBG_SAT-87.fna,100.0,3.33,7896062,160688
TOBG_SAT-84.fna,64.32,1.15,1167504,35515
TOBG_SAT-83.fna,95.25,1.3,2732373,64157
TOBG_SAT-82.fna,54.17,1.04,1036905,26413
TOBG_SAT-81.fna,56.54,0.34,1674368,19459
TOBG_SAT-80.fna,57.54,1.1,661848,20844
TOBG_SAT-8.fna,98.05,4.38,3640882,197303
TOBG_SAT-79.fna,81.19,2.23,2895303,32242
TOBG_SAT-78.fna,52.89,0.83,1072402,18030
